,Maior Valor Nivel,Menor Valor Nivel,Maior Valor Chuva,Menor Valor Chuva,Maior Valor Vazao,Menor Valor Vazao
23310000,15531.0,15527.0,0.0,0.0,0.0,0.0
23466000,198.0,196.0,0.0,0.0,26.52,25.18
23490000,15569.0,15566.0,0.0,0.0,1356.0,1328.0
23790000,69.0,65.0,0.0,0.0,1336.92,1316.61
33250000,155.0,154.0,,,38.69,38.13
33260000,222.0,221.0,0.0,0.0,63.44,63.09
33281000,283.0,282.0,0.0,0.0,74.5,74.07
33286000,168.0,167.0,0.0,0.0,76.02,75.65
33290000,232.0,229.0,0.0,0.0,77.82,76.7
33321000,213.0,211.0,0.0,0.0,7.01,6.46
33380000,401.0,142.0,1.4,0.0,146.31,18.43
33420000,254.0,253.0,0.0,0.0,11.6,11.49
33480000,65.0,64.0,0.0,0.0,34.37,34.1
33530000,144.0,143.0,0.0,0.0,41.18,40.85
33550000,122.0,120.0,0.0,0.0,44.86,44.06
33590000,66.0,63.0,0.0,0.0,48.53,46.97
33630000,160.0,156.0,3.2,0.0,54.78,52.66
33680000,271.0,270.0,0.0,0.0,55.3,54.67
33690100,351.0,330.0,0.0,0.0,,
33730000,161.0,161.0,0.0,0.0,14.02,14.02
33760000,265.0,258.0,0.0,0.0,40.01,38.16
33770000,228.0,221.0,0.0,0.0,6.36,5.84
34010000,280.0,279.0,0.0,0.0,58.4,57.32
34020000,312.0,312.0,0.0,0.0,60.15,60.15
34020980,428.0,426.0,0.0,0.0,143.0,141.0
34040500,132.0,132.0,0.0,0.0,115.99,115.99
34129980,470.0,468.0,0.0,0.0,255.0,253.0
34130000,280.0,277.0,0.0,0.0,79.25,77.06
34160900,132.0,130.0,0.0,0.0,117.0,115.0
34170000,134.0,134.0,0.0,0.0,115.48,115.48
34311000,245.0,244.0,0.0,0.0,288.31,286.38
34820000,244.0,243.0,1.2,0.0,311.99,309.44
946005,,,0.0,0.0,,
