,Maior Valor Nivel,Menor Valor Nivel,Maior Valor Chuva,Menor Valor Chuva,Maior Valor Vazao,Menor Valor Vazao
23310000,15534.0,15530.0,0.0,0.0,,
23466000,199.0,197.0,0.0,0.0,27.21,25.84
23490000,15575.0,15569.0,0.0,0.0,1214.0,1088.0
23790000,69.0,65.0,0.0,0.0,1340.32,1316.61
33250000,155.0,155.0,0.0,0.0,38.69,38.69
33260000,222.0,221.0,0.0,0.0,63.44,63.09
33281000,282.0,281.0,0.0,0.0,74.07,73.64
33286000,165.0,164.0,0.0,0.0,74.92,74.55
33290000,229.0,227.0,0.0,0.0,76.7,75.95
33321000,214.0,212.0,0.0,0.0,7.29,6.73
33380000,74.0,69.0,0.0,0.0,1.97,1.27
33420000,252.0,251.0,0.0,0.0,11.39,11.29
33480000,63.0,63.0,0.0,0.0,33.84,33.84
33530000,142.0,141.0,0.0,0.0,40.53,40.21
33550000,122.0,118.0,0.0,0.0,44.86,43.26
33590000,63.0,62.0,0.0,0.0,46.97,46.45
33630000,156.0,153.0,0.0,0.0,52.66,51.09
33680000,268.0,267.0,0.2,0.0,53.42,52.79
33690100,325.0,317.0,0.0,0.0,,
33730000,159.0,158.0,0.0,0.0,13.64,13.45
33760000,254.0,250.0,0.0,0.0,37.12,36.08
33770000,233.0,224.0,0.0,0.0,6.74,6.06
34010000,279.0,279.0,0.0,0.0,57.32,57.32
34020000,312.0,312.0,0.0,0.0,60.15,60.15
34020980,428.0,426.0,0.0,0.0,143.0,141.0
34040500,,,0.0,0.0,,
34129980,471.0,469.0,0.0,0.0,256.0,254.0
34130000,279.0,276.0,0.0,0.0,78.52,76.34
34160900,132.0,130.0,0.0,0.0,117.0,115.0
34170000,134.0,133.0,0.0,0.0,115.48,114.44
34311000,250.0,246.0,0.0,0.0,298.02,290.25
34820000,244.0,243.0,0.0,0.0,311.99,309.44
946005,,,0.0,0.0,,
